Card Value,Delta SD,Delta Median,Delta Mean
1,0.3595861230732528,0.65784,0.6589575
2,0.2412165247002651,0.44412,0.44356
3,0.14986883906295823,0.281065,0.279835
0,0.12335356010376701,0.208475,0.2146225
4,0.09165849885949975,0.17437,0.173175
5,0.05311019146012365,0.098515,0.099245
6,0.028534220998620186,0.05388,0.0536675
7,0.013371907095822536,0.02546,0.02512
8,0.005800467032646283,0.011875,0.011725
11,8.573846246857167e-05,0.00014,0.00015
9,0.0021615956284885204,0.004285,0.00415
10,0.0006053674964079497,0.001045,0.00112
12,-2.391463117381003e-06,2.5e-05,2e-05
